LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,,Dec-14,,Mar-15,,Jun-15,,Sep-15,,Dec-15,,Mar-16,,,Jun-16,,Sep-16,,Dec-16,,Mar-17,,Jun-17,
GREATER SYDNEY,135,,135,,135,,135,,135,,135,,140,,135,,140,,140,,140,,140,,140,,140,,140,,140,,140,,145,,145,,150,,150,,155,,155,,160,,160,,160,,170,,165,,175,,170,,180,,180,,180,,185,,185,,195,,195,,200,,210,,215,,225,,230,,230,,240,,245,,250,,240,,250,,250,,250,,240,,250,,250,,250,,250,,260,,260,,260,,260,,270,,270,,270,,280,,280,,285,,285,,290,,300,,300,,310,,320,,330,,340,,350,,350,,350,,355,,360,,360,,365,,380,,380,,380,,390,,390,,400,,400,,410,,415,,410,,420,,420,,420,,430,,425,,440,,450,,450,,450,,450,,460,,460,,450,,465,,470,,Break in the series,480, ,480, ,480,,484,,500,
Inner Ring,145,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,155,,155,,155,,155,,160,,165,,165,,170,,175,,175,,180,,180,,185,,190,,195,,200,,195,,200,,210,,210,,215,,220,,225,,230,,235,,240,,250,,255,,265,,265,,280,,280,,280,,270,,280,,280,,280,,270,,280,,280,,280,,280,,290,,290,,290,,290,,300,,300,,300,,300,,305,,310,,315,,320,,325,,340,,350,,350,,350,,370,,380,,385,,392.5,,390,,400,,400,,400,,400,,420,,420,,430,,440,,450,,450,,460,,460,,460,,460,,470,,470,,480,,475,,490,,500,,500,,495,,499,,500,,500,,495,,510,,510,,,525, ,520, ,530,,530,,550,
Ashfield,125,,125,,125,,130,,125,,125,,125,,125,,130,,130,,125,,125,,125,,125,,125,,125,,125,,125,,130,,130,,130,,130,,135,,135,,140,,140,,145,,145,,150,,150,,155,,150,,152.5,,155,,155,,160,,160,,160,,170,,165,,170,,180,,180,,190,,185,,185,,185,,180,,190,,190,,190,,190,,190,,200,,200,,200,,200,,200,,200,,200,,207.5,,200,,210,,205,,220,,220,,220,,220,,230,,230,,250,,250,,250,,275,,275,,290,,290,,290,,300,,300,,302.5,,320,,320,,320,,340,,350,,330,,350,,340,,350,,350,,350,,350,,360,,350,,360,,360,,360,,360,,370,,367.5,,370,,380,,385,,385,,,385, ,395, ,390,,410,,400,
Botany Bay,125,,130,,125,,132.5,,125,,130,,130,,130,,130,,132.5,,130,,130,,130,,130,,135,,130,,130,,130,,135,,140,,135,,135,,140,,145,,140,,140,,150,,150,,160,,150,,155,,160,,160,,160,,160,,160,,160,,160,,175,,172.5,,175,,180,,175,,180,,180,,172,,180,,180,s,185,,190,s,180,,180,,185,s,190,,190,,187.5,s,190,,180,,200,s,187.5,s,200,,200,,245,,200,,230,,222.5,,210,,215,,230,,225,s,222.5,,230,,245,s,240,s,325,,295,s,267.5,,300,,300,,280,,285,,320,,310,,335,,430,,345,,380,,390,,410,,480,,390,,450,,480,,490,,360,,465,,500,,430,,480,,490,,510,,530,,520,,500,,500,,,600, ,580, ,550,,562.5,,580,
Lane Cove,155,s,152.5,s,155,s,145,s,150,s,145,s,150,s,150,s,140,s,155,s,145,s,145,s,150,,150,s,155,,160,,160,s,160,s,160,,175,s,180,,165,,175,,180,,177.5,,180,,190,,180,,190,,200,,190,,190,,190,,185,,220,,210,,200,,215,,215,,225,,225,,235,s,250,,240,,240,,250,,230,,227.5,,220,,220,,220,,220,s,240,,235,,245,,230,,230,s,240,s,230,s,220,,240,,237.5,s,250,,257.5,,247.5,,250,s,250,,262.5,,262.5,s,260,s,280,s,290,s,320,s,325,s,335,s,325,s,325,s,350,s,335,s,330,s,345,s,345,s,350,s,360,s,360,s,370,s,395,,390,s,397.5,,400,s,370,,400,,385,,430,,425,,397.5,s,470,,500,,480,,482.5,,495,,495,,500,,490,,490,,,510, ,500, ,510,,525,,520,
Leichhardt,130,,130,,140,,135,,135,,135,,140,,135.5,,135,,135,,137.5,,135.5,,140,,135,,137.5,,140,,135,,135,,145,,145,,145,,145,,150,,160,,160,,165,,175,,175,,170,,175,,170,,175,,185,,190,,182.5,,190,,205,,210,,200,,210,,220,,220,,220,,240,,225,,230,,260,,247.5,,250,,262.5,,250,,290,,250,,260,,262.5,,242.5,,260,,265,,260,,272.5,,275,,280,,270,,270,,280,,285,,300,,290,,297.5,,305,,310,,325,,322.5,,350,,340,,350,,350,,380,,350,,360,,330,,380,,390,,400,,380,,415,,430,,420,,420,,430,,420,,450,,407.5,,415,,440,,440,,440,,440,,450,,420,,420,,440,,450,,477.5,,457.5,,,460, ,460, ,465,,492.5,,480,
Marrickville,115,,120,,120,,120,,120,,120,,120,,120,,120,,120,,120,,115,,115,,120,,115,,120,,120,,120,,120,,120,,125,,125,,130,,130,,130,,130,,135,,140,,145,,140,,145,,150,,150,,150,,155,,150,,150,,160,,160,,160,,165,,165,,175,,170,,175,,180,,180,,180,,175,,180,,180,,185,,185,,185,,185,,180,,200,,200,,190,,190,,190,,195,,200,,190,,205,,200,,217.5,,220,,220,,240,,240,,250,,250,,265,,275,,280,,280,,290,,295,,290,,295,,310,,317.5,,315,,320,,325,,345,,330,,337.5,,350,,350,,350,,380,,350,,370,,360,,380,,385,,395,,380,,400,,390,,400,,400,,417.5,,,417.5, ,430, ,440,,445,,440,
Mosman,165,,165,,165,,170,,170,,170,,160,,165,,165,,160,,165,,170,,162.5,,165,,170,,170,,170,,170,,175,,175,,185,,190,,185,,190,,195,,200,,200,,210,,210,,210,,220,,215,,220,,220,,220,,220,,230,,230,,230,,240,,250,,270,,260,,265,,260,,270,,255,,250,,250,,250,,250,,250,,247.5,,250,,250,,260,,260,,280,,260,,270,,270,,270,,280,,275,,280,,280,,300,,290,,310,,322.5,,320,,345,,350,,350,,360,,360,,380,,370,,350,,370,,385,,400,,400,,400,,402.5,,395,,400,,405,,420,,420,,405,,420,,425,,422.5,,440,,440,,450,,450,,450,,450,,450,,460,,450,,490,,470,,,500, ,475, ,480,,500,,500,
North Sydney,165,,165,,165,,170,,165,,170,,170,,170,,165,,165,,165,,170,,165,,170,,175,,170,,175,,180,,180,,190,,190,,195,,200,,200,,210,,212.5,,215,,220,,220,,230,,230,,240,,240,,240,,250,,250,,250,,260,,260,,270,,295,,290,,290,,290,,295,,300,,280,,280,,290,,285,,285,,280,,280,,290,,290,,290,,290,,300,,290,,300,,290,,310,,300,,317.5,,300,,325,,320,,330,,346.2,,360,,350,,350,,375,,380,,390,,380,,390,,390,,385,,390,,390.5,,400,,415,,420,,420,,450,,450,,450,,450,,450,,450,,450,,460,,460,,460,,470,,480,,480,,480,,490,,480,,500,,485,,500,,510,,,500, ,520, ,525,,510,,525,
Randwick,145,,145,,145,,145,,145,,145,,150,,145,,150,,150,,150,,150,,145,,150,,150,,150,,150,,150,,160,,160,,155,,160,,165,,170,,165,,175,,180,,180,,180,,140,,190,,190,,195,,200,,200,,210,,210,,217.5,,225,,230,,240,,240,,250,,250,,260,,260,,250,,260,,270,,260,,250,,255,,260,,275,,260,,260,,262.5,,260,,260,,270,,270,,285,,280,,285,,300,,290,,295,,310,,315,,320,,320,,350,,350,,360,,350,,370,,370,,380,,370,,385,,390,,390,,400,,400,,420,,420,,407.5,,430,,450,,440,,430,,450,,450,,457,,450,,450,,460,,470,,455,,490,,485,,480,,480,,500,,500,,,500, ,500, ,520,,520,,510,
